house_id,seller_id,agent_id,address,city,neighborhood,zip_code,latitude,longitude,property_type,bedrooms,bathrooms,garage_spaces,stories,square_feet,lot_size,construction_year,school_district,listing_price,estimated_market_value,price_per_sq_ft,listing_date,days_on_market,hoa_fee,status
1,107,30,0630 Spencer Radial,Bothell,Canyon Park,88987,47.748582,-122.19218,SINGLE_FAMILY,2,2.0,2,2,3849,7924,1969,Northshore School District,1778000.0,1729000.0,461.94,2025-08-04,31,0,ACTIVE
2,12,26,9671 Krista Divide,Redmond,Bear Creek,49430,47.662353,-122.111025,SINGLE_FAMILY,3,3.5,1,3,2199,3498,2006,Lake Washington School District,1603000.0,1635000.0,728.97,2026-01-11,71,0,ACTIVE
3,48,6,86870 Lisa Village,Seattle,Greenwood,81861,47.610919,-122.335233,SINGLE_FAMILY,4,1.5,3,3,4093,5018,2004,Seattle Public Schools,2560000.0,2548000.0,625.46,2025-10-12,54,0,ACTIVE
4,94,11,07494 Kidd Ville,Seattle,Capitol Hill,83365,47.604927,-122.339229,SINGLE_FAMILY,4,3.0,2,3,2940,4683,1958,Seattle Public Schools,1506000.0,1593000.0,512.24,2025-09-14,83,0,PENDING
5,77,30,28914 Randall Crossing Apt. 846,Bellevue,Downtown,28137,47.615263,-122.207104,SINGLE_FAMILY,2,1.0,1,2,3241,7180,2008,Bellevue School District,2640000.0,2797000.0,814.56,2026-02-06,23,0,SOLD
6,45,18,547 Sanchez Islands Suite 379,Redmond,Education Hill,43552,47.673589,-122.132291,SINGLE_FAMILY,3,2.5,0,2,2364,1578,2023,Lake Washington School District,1833000.0,1815000.0,775.38,2025-07-04,67,0,SOLD
7,114,16,097 Rachel Spring,Seattle,Capitol Hill,23246,47.59368,-122.346174,CONDO,4,2.0,0,2,1225,3341,2014,Seattle Public Schools,582000.0,591000.0,475.1,2025-11-26,73,397,PENDING
8,140,27,8118 Patricia Via Suite 156,Seattle,Fremont,79316,47.607461,-122.324396,SINGLE_FAMILY,4,2.5,1,2,3828,2338,2020,Seattle Public Schools,2521000.0,2604000.0,658.57,2025-11-06,88,0,ACTIVE
9,31,25,017 Mayer Mills,Renton,Highlands,01728,47.474196,-122.209972,SINGLE_FAMILY,4,4.0,3,1,1932,6547,2007,Renton School District,933000.0,993000.0,482.92,2025-09-17,22,0,ACTIVE
10,83,23,5319 Stokes Forges,Bothell,North Creek,31205,47.75378,-122.21238,CONDO,4,3.5,0,1,710,7644,2022,Northshore School District,332000.0,332000.0,467.61,2026-06-20,57,280,PENDING
11,101,16,47930 Tracey Route Suite 149,Sammamish,Klahanie,66079,47.618623,-122.042538,CONDO,3,2.5,0,3,779,8009,1966,Lake Washington School District,337000.0,353000.0,432.61,2025-12-25,16,456,SOLD
12,24,24,999 Cameron Crossroad,Redmond,Overlake,98277,47.677945,-122.115581,SINGLE_FAMILY,4,4.0,3,1,3311,5019,2008,Lake Washington School District,2467000.0,2482000.0,745.09,2025-07-22,32,0,ACTIVE
13,88,29,384 Melanie Brooks Suite 870,Redmond,Bear Creek,56483,47.681768,-122.135122,SINGLE_FAMILY,3,4.0,3,1,2961,2517,1993,Lake Washington School District,1951000.0,1920000.0,658.9,2026-02-17,25,0,SOLD
14,78,6,6641 Simpson Path,Bellevue,Somerset,06198,47.5979,-122.205687,SINGLE_FAMILY,2,3.5,1,1,3552,4746,1975,Bellevue School District,2551000.0,2730000.0,718.19,2026-05-16,85,0,SOLD
15,123,3,46875 Philip Isle,Bellevue,West Bellevue,11223,47.61291,-122.200917,TOWNHOUSE,3,1.0,2,1,1539,8547,2004,Bellevue School District,1094000.0,1146000.0,710.85,2026-05-15,59,605,ACTIVE
16,77,5,361 James Isle,Seattle,Queen Anne,41238,47.614404,-122.324505,SINGLE_FAMILY,2,3.5,1,1,3369,5845,1961,Seattle Public Schools,1752000.0,1719000.0,520.04,2025-07-21,77,0,ACTIVE
17,106,20,76095 Wright Mountains,Seattle,Greenwood,31743,47.604472,-122.340583,TOWNHOUSE,4,1.5,0,3,1750,7480,1994,Seattle Public Schools,856000.0,889000.0,489.14,2026-06-13,54,429,ACTIVE
18,73,25,8319 Duran Road,Sammamish,Inglewood,59018,47.602105,-122.025188,SINGLE_FAMILY,4,1.5,1,3,2372,4709,1981,Lake Washington School District,1423000.0,1393000.0,599.92,2026-01-25,42,0,PENDING
